
02.10.2021 23:08:05.506 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.513 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.521 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.529 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.538 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.546 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.557 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.564 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.570 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.579 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.587 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.602 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.607 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.614 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.621 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.631 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.638 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.646 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.654 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.665 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.671 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.679 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.687 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.696 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.704 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.713 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.720 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.729 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.739 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.745 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.752 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.758 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.765 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.774 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.781 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.787 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.796 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.806 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.813 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.821 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.836 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.842 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
02.10.2021 23:08:05.849 <GameRect pos=(512, 288), walk=1, screen=<Surface(1024x576x32 SW)>, surf=<Surface(50x50x32 SW)>
